timestamp,latitude,longitude,NO2 (ppb),VOC (ppb),PM10 (ug/m3),PM25 (ug/m3)
1650792680,45.072273,7.683478,0.000000,112.000000,22.211311,7.528783
1650792680,45.072273,7.683478,0.000000,101.000000,8.528784,1.000000
1650792696,45.072105,7.684248,0.000000,101.000000,8.528784,1.000000
1650793023,45.072369,7.684023,5.000000,80.000000,2.000000,1.000000
1650793023,45.072369,7.684023,6.000000,0.000000,2.000000,1.000000
1650793053,45.072231,7.684202,6.000000,0.000000,2.000000,1.000000
1650793053,45.072231,7.684202,8.000000,80.000000,2.000000,1.000000
1650793615,45.072987,7.684422,13.000000,57.000000,2.000000,1.000000
1650793615,45.072987,7.684422,15.000000,43.000000,2.000000,42.518921
1650793646,45.073612,7.685761,15.000000,43.000000,2.000000,42.518921
1650793646,45.073612,7.685761,17.000000,39.000000,57.895958,7.039576
1650793649,45.074062,7.685544,17.000000,39.000000,57.895958,7.039576
1650793677,45.075596,7.686200,17.000000,39.000000,57.895958,7.039576
1650793709,45.076656,7.687181,17.000000,39.000000,57.895958,7.039576
1650793709,45.076656,7.687181,18.000000,36.000000,8.039576,15.345106
1650793739,45.077705,7.688961,18.000000,36.000000,8.039576,15.345106
1650793772,45.076527,7.689915,18.000000,36.000000,8.039576,15.345106
1650793772,45.076527,7.689915,18.000000,34.000000,16.345106,1.000000
1650793780,45.076420,7.690569,18.000000,34.000000,16.345106,1.000000
1650793804,45.075378,7.691054,18.000000,34.000000,16.345106,1.000000
1650793834,45.074345,7.692579,18.000000,34.000000,16.345106,1.000000
1650793834,45.074345,7.692579,19.000000,33.000000,2.000000,12.117255
1650793867,45.072296,7.684427,19.000000,33.000000,2.000000,12.117255
1650793873,45.073566,7.694498,19.000000,33.000000,2.000000,12.117255
1650793898,45.073193,7.696078,19.000000,33.000000,2.000000,12.117255
1650793898,45.073193,7.696078,19.000000,34.000000,32.914474,6.584322
1650793925,45.073421,7.697783,19.000000,34.000000,32.914474,6.584322
1650793960,45.074707,7.698198,19.000000,34.000000,32.914474,6.584322
1650793960,45.074707,7.698198,18.000000,29.000000,13.560764,10.470383
1650793964,45.074448,7.698554,18.000000,29.000000,13.560764,10.470383
1650793991,45.073944,7.699138,18.000000,29.000000,13.560764,10.470383
1650794001,45.074638,7.701231,18.000000,29.000000,13.560764,10.470383
1650794001,45.074638,7.701231,16.000000,28.000000,20.010008,15.223196
1650794052,45.074951,7.704280,16.000000,28.000000,20.010008,15.223196
1650794114,45.074944,7.706120,16.000000,28.000000,20.010008,15.223196
1650794114,45.074944,7.706120,17.000000,29.000000,16.223196,11.519503
1650794128,45.074924,7.707100,17.000000,29.000000,16.223196,11.519503
1650794128,45.074924,7.707100,17.000000,29.000000,39.171661,4.960741
1650794144,45.074818,7.708271,17.000000,29.000000,39.171661,4.960741
1650794175,45.074429,7.710322,17.000000,29.000000,39.171661,4.960741
1650794207,45.073635,7.712559,16.000000,30.000000,28.069197,6.263840
1650794222,45.073151,7.713540,16.000000,30.000000,28.069197,6.263840
1650794269,45.073502,7.715800,16.000000,30.000000,28.069197,6.263840
1650794269,45.073502,7.715800,16.000000,30.000000,7.263840,11.021663
1650794302,45.075268,7.718078,16.000000,30.000000,7.263840,11.021663
1650794302,45.075268,7.718078,14.000000,32.000000,29.844559,8.676320
1650794332,45.075954,7.719290,14.000000,32.000000,29.844559,8.676320
1650794343,45.076206,7.719912,14.000000,32.000000,29.844559,8.676320
1650794362,45.076477,7.721256,14.000000,32.000000,29.844559,8.676320
1650794362,45.076477,7.721256,14.000000,32.000000,17.378290,9.271492
1650794393,45.076897,7.723417,14.000000,32.000000,17.378290,9.271492
1650794424,45.077309,7.725168,14.000000,32.000000,17.378290,9.271492
1650794424,45.077309,7.725168,14.000000,32.000000,26.215191,8.144756
1650794439,45.076660,7.725798,14.000000,32.000000,26.215191,8.144756
1650794455,45.076180,7.726270,14.000000,32.000000,26.215191,8.144756
1650794486,45.074757,7.726350,14.000000,32.000000,26.215191,8.144756
1650794486,45.074757,7.726350,16.000000,32.000000,9.959526,12.922421
1650794491,45.075443,7.727820,16.000000,32.000000,9.959526,12.922421
1650794516,45.075298,7.729683,16.000000,32.000000,9.959526,12.922421
1650794581,45.074375,7.726500,16.000000,32.000000,9.959526,12.922421
1650794581,45.074375,7.726500,12.000000,33.000000,33.233036,8.633270
1650794587,45.073711,7.728224,12.000000,33.000000,33.233036,8.633270
1650794643,45.072136,7.725085,12.000000,33.000000,33.233036,8.633270
1650794643,45.072136,7.725085,11.000000,33.000000,9.633270,21.956617
1650794645,45.071686,7.725719,11.000000,33.000000,9.633270,21.956617
1650794673,45.071815,7.723833,11.000000,33.000000,9.633270,21.956617
1650794673,45.071815,7.723833,11.000000,29.000000,29.444563,15.919949
1650794679,45.070564,7.724148,11.000000,29.000000,29.444563,15.919949
1650794713,45.069752,7.722207,11.000000,29.000000,29.444563,15.919949
1650794765,45.070686,7.718359,11.000000,29.000000,29.444563,15.919949
1650794765,45.070686,7.718359,12.000000,32.000000,16.919949,18.469692
1650794768,45.070156,7.718375,12.000000,32.000000,16.919949,18.469692
1650794796,45.069042,7.716434,12.000000,32.000000,16.919949,18.469692
1650794796,45.069042,7.716434,12.000000,29.000000,19.469692,22.844383
1650794824,45.068920,7.714804,12.000000,29.000000,19.469692,22.844383
1650794859,45.068447,7.712190,12.000000,29.000000,19.469692,22.844383
1650794859,45.068447,7.712190,10.000000,29.000000,23.844383,13.048340
1650794890,45.069252,7.710236,10.000000,29.000000,23.844383,13.048340
1650794895,45.068024,7.709744,10.000000,29.000000,23.844383,13.048340
1650794949,45.067337,7.706100,9.000000,29.000000,14.048340,1.000000
1650794983,45.067532,7.703146,9.000000,29.000000,14.048340,1.000000
1650794983,45.067532,7.703146,7.000000,28.000000,2.000000,21.065237
1650795005,45.066013,7.702602,7.000000,28.000000,2.000000,21.065237
1650795044,45.065479,7.698377,7.000000,28.000000,2.000000,21.065237
1650795044,45.065479,7.698377,6.000000,29.000000,48.942554,7.691023
1650795047,45.065025,7.699793,6.000000,29.000000,48.942554,7.691023
1650795076,45.064793,7.700523,6.000000,29.000000,48.942554,7.691023
1650795076,45.064793,7.700523,9.000000,32.000000,43.992348,16.165894
1650795081,45.063824,7.699645,9.000000,32.000000,43.992348,16.165894
1650795127,45.062912,7.698555,9.000000,32.000000,43.992348,16.165894
1650795168,45.064365,7.698806,9.000000,32.000000,43.992348,16.165894
1650795168,45.064365,7.698806,12.000000,31.000000,35.856255,13.441651
1650795172,45.062038,7.697342,12.000000,31.000000,35.856255,13.441651
1650795223,45.059711,7.695142,12.000000,31.000000,35.856255,13.441651
1650795223,45.059711,7.695142,13.000000,30.000000,33.991547,11.280006
1650795262,45.058243,7.693972,13.000000,30.000000,33.991547,11.280006
