timestamp,latitude,longitude,NO2 (ppb),VOC (ppb),PM10 (ug/m3),PM25 (ug/m3)
1651834248,45.072197,7.684241,0.000000,116.000000,2.000000,1.000000
1651834248,45.072197,7.684241,0.000000,113.000000,2.000000,1.000000
1651834535,45.072475,7.684185,0.000000,104.000000,7.954973,1.000000
1651834535,45.072475,7.684185,0.000000,84.000000,37.595974,7.051023
1651834581,45.072052,7.684595,0.000000,84.000000,37.595974,7.051023
1651834581,45.072052,7.684595,0.000000,67.000000,23.275326,2.748861
1651834612,45.071243,7.684892,0.000000,67.000000,23.275326,2.748861
1651834642,45.072067,7.685061,0.000000,67.000000,23.275326,2.748861
1651834642,45.072067,7.685061,0.000000,64.000000,3.748861,1.000000
1651834677,45.071545,7.685693,0.000000,64.000000,3.748861,1.000000
1651834704,45.071804,7.685477,0.000000,64.000000,3.748861,1.000000
1651834704,45.071804,7.685477,0.000000,67.000000,2.000000,1.000000
1651834713,45.071293,7.686664,0.000000,67.000000,2.000000,1.000000
1651834736,45.071114,7.687094,0.000000,67.000000,2.000000,1.000000
1651834767,45.071396,7.688099,0.000000,67.000000,2.000000,1.000000
1651834767,45.071396,7.688099,0.000000,62.000000,2.000000,1.000000
1651834800,45.071751,7.686920,0.000000,62.000000,2.000000,1.000000
1651834800,45.071751,7.686920,0.000000,60.000000,2.000000,1.000000
1651834834,45.072990,7.690500,0.000000,60.000000,2.000000,1.000000
1651834865,45.072632,7.686676,0.000000,60.000000,2.000000,1.000000
1651834865,45.072632,7.686676,0.000000,57.000000,2.000000,1.000000
1651834874,45.071789,7.689786,0.000000,57.000000,2.000000,1.000000
1651834931,45.071548,7.690935,0.000000,57.000000,2.000000,1.000000
1651834931,45.071548,7.690935,0.000000,62.000000,2.000000,1.000000
1651834985,45.071812,7.691815,0.000000,62.000000,2.000000,1.000000
1651834985,45.071812,7.691815,0.000000,67.000000,2.000000,1.000000
1651835025,45.071522,7.692347,0.000000,67.000000,2.000000,1.000000
1651835051,45.071342,7.692931,0.000000,67.000000,2.000000,1.000000
1651835051,45.071342,7.692931,0.000000,67.000000,2.000000,1.000000
1651835101,45.070927,7.692938,0.000000,67.000000,2.000000,1.000000
1651835101,45.070927,7.692938,0.000000,123.000000,2.000000,1.000000
1651835177,45.070984,7.692481,0.000000,123.000000,2.000000,1.000000
1651835177,45.070984,7.692481,0.000000,116.000000,2.000000,1.000000
