timestamp,latitudine,longitudine,NO2 (ppb),VOC (ppb),PM10 (ug/m3),PM25 (ug/m3)
1647324383,45.113564,7.774602,0.000000,145.000000,16.213873,4.075112
1647324383,45.113564,7.774602,0.000000,140.000000,13.682562,3.542971
1647324386,45.113491,7.774523,0.000000,140.000000,13.682562,3.542971
1647324391,45.113411,7.774442,0.000000,140.000000,13.682562,3.542971
1647324413,45.113457,7.774436,0.000000,140.000000,13.682562,3.542971
1647324433,45.113323,7.774229,0.000000,136.000000,13.764313,3.266335
1647324575,45.113323,7.774358,0.000000,130.000000,15.007847,5.076710
1647324575,45.113323,7.774358,0.000000,142.000000,16.362200,4.624104
1647324597,45.113327,7.774560,0.000000,142.000000,16.362200,4.624104
1647324597,45.113327,7.774560,0.000000,163.000000,17.484200,3.178721
1647324655,45.113312,7.774346,0.000000,163.000000,17.484200,3.178721
1647324655,45.113312,7.774346,0.000000,157.000000,33.823757,10.142859
1647324715,45.113342,7.774467,0.000000,157.000000,33.823757,10.142859
1647324715,45.113342,7.774467,1.000000,68.000000,68.375801,13.591726
1647324736,45.113327,7.774626,1.000000,68.000000,68.375801,13.591726
1647324748,45.113388,7.774531,1.000000,68.000000,68.375801,13.591726
1647324751,45.113415,7.774443,1.000000,68.000000,68.375801,13.591726
1647324761,45.113503,7.774426,1.000000,68.000000,68.375801,13.591726
1647324769,45.113598,7.774441,1.000000,68.000000,68.375801,13.591726
1647324778,45.113705,7.774474,1.000000,68.000000,68.375801,13.591726
1647324778,45.113705,7.774474,12.000000,393.000000,21.222464,2.379080
1647324787,45.113789,7.774548,12.000000,393.000000,21.222464,2.379080
1647324838,45.113724,7.774684,12.000000,393.000000,21.222464,2.379080
1647324838,45.113724,7.774684,15.000000,428.000000,6.885619,1.958210
1647324841,45.113689,7.774807,15.000000,428.000000,6.885619,1.958210
1647324844,45.113659,7.774953,15.000000,428.000000,6.885619,1.958210
1647324847,45.113621,7.775110,15.000000,428.000000,6.885619,1.958210
1647324869,45.113663,7.775223,15.000000,428.000000,6.885619,1.958210
1647324908,45.113770,7.775272,15.000000,428.000000,6.885619,1.958210
1647325031,45.108753,7.773231,19.000000,406.000000,8.985524,2.286571
1647325031,45.108753,7.773231,20.000000,436.000000,14.369184,2.371644
1647325040,45.107967,7.772275,20.000000,436.000000,14.369184,2.371644
1647325057,45.106651,7.770711,20.000000,436.000000,14.369184,2.371644
1647325073,45.105755,7.769430,20.000000,436.000000,14.369184,2.371644
1647325100,45.105145,7.767587,20.000000,436.000000,14.369184,2.371644
1647325100,45.105145,7.767587,21.000000,462.000000,16.517813,3.478421
1647325101,45.105114,7.767288,21.000000,462.000000,16.517813,3.478421
1647325102,45.104980,7.767212,21.000000,462.000000,16.517813,3.478421
1647325104,45.104946,7.767183,21.000000,462.000000,16.517813,3.478421
1647325122,45.104858,7.767092,21.000000,462.000000,16.517813,3.478421
1647325126,45.104759,7.766938,21.000000,462.000000,16.517813,3.478421
1647325128,45.104733,7.766789,21.000000,462.000000,16.517813,3.478421
1647325130,45.104645,7.766590,21.000000,462.000000,16.517813,3.478421
1647325131,45.104576,7.766500,21.000000,462.000000,16.517813,3.478421
1647325132,45.104424,7.766359,21.000000,462.000000,16.517813,3.478421
1647325133,45.104343,7.766267,21.000000,462.000000,16.517813,3.478421
