timestamp,latitudine,longitudine,NO2 (ppb),VOC (ppb),PM10 (ug/m3),PM25 (ug/m3)
1647477242,45.113323,7.774437,0.000000,172.000000,2.000000,1.000000
1647477242,45.113323,7.774437,0.000000,171.000000,3.763539,1.000000
1647478901,45.113312,7.774290,0.000000,170.000000,2.182409,1.000000
1647478901,45.113312,7.774290,0.000000,169.000000,2.000000,1.000000
1647480701,45.113312,7.774290,0.000000,170.000000,2.981509,1.000000
1647480701,45.113312,7.774290,0.000000,170.000000,2.834492,1.000000
1647482501,45.113312,7.774290,0.000000,180.000000,4.457162,1.000000
1647482501,45.113312,7.774290,0.000000,181.000000,2.000000,1.000000
1647484301,45.113312,7.774290,0.000000,181.000000,2.000000,1.000000
1647484301,45.113312,7.774290,0.000000,181.000000,2.000000,1.000000
1647486101,45.113312,7.774290,0.000000,182.000000,2.000000,1.000000
1647486101,45.113312,7.774290,0.000000,179.000000,4.735873,1.000000
1647487901,45.113312,7.774290,0.000000,180.000000,2.000000,1.000000
1647487901,45.113312,7.774290,0.000000,183.000000,2.472023,1.000000
1647489701,45.113312,7.774290,0.000000,182.000000,4.153105,1.000000
1647489701,45.113312,7.774290,0.000000,183.000000,4.237978,1.000000
1647491501,45.113312,7.774290,0.000000,186.000000,4.985870,1.000000
1647491501,45.113312,7.774290,0.000000,186.000000,2.000000,1.000000
