timestamp,latitudine,longitudine,NO2 (ppb),VOC (ppb),PM10 (ug/m3),PM25 (ug/m3)
1647238613,976.56.00,11283.03.00,3.00,157.00.00,1091.04.00,1586.52.00
1647238613,976.56.00,11283.03.00,3.00,156.00.00,12748.50.00,11207.53.00
1647238624,978.08.00,11276.16.00,3.00,156.00.00,12748.50.00,11207.53.00
1647238624,978.08.00,11276.16.00,2.00,152.00.00,7223.41.00,10694.43.00
1647238643,977.38.00,11283.15.00,2.00,152.00.00,7223.41.00,10694.43.00
1647239083,984.34.00,11289.44.00,6.00,35.00.00,16638.43.00,16018.50.00
1647239083,984.34.00,11289.44.00,10.00,28.00.00,16019.50.00,1055.51.00
1647239109,980.56.00,11300.35.00,10.00,28.00.00,16019.50.00,1055.51.00
1647239109,980.56.00,11300.35.00,13.00,21.00,10488.42.00,10277.19.00
1647239139,979.44.00,11309.29.00,13.00,21.00,10488.42.00,10277.19.00
1647239171,979.36.00,11322.13.00,13.00,21.00,10488.42.00,10277.19.00
1647239171,979.36.00,11322.13.00,0.00,0.00,10488.42.00,10277.19.00
1647239200,971.58.00,11326.07.00,0.00,0.00,10488.42.00,10277.19.00
1647239215,972.02.00,11333.05.00,0.00,0.00,10488.42.00,10277.19.00
1647239246,967.54.00,11344.57.00,0.00,0.00,10488.42.00,10277.19.00
1647239837,1062.11.00,11427.18.00,0.00,8.00,11614.30.00,11173.11.00
1647239837,1062.11.00,11427.18.00,0.00,7.00,10797.52.00,14102.55.00
1647239861,1071.13.00,11434.21.00,0.00,7.00,10797.52.00,14102.55.00
1647239892,1075.25.00,11430.25.00,0.00,7.00,10797.52.00,14102.55.00
1647239892,1075.25.00,11430.25.00,0.00,6.00,10432.09.00,679.45.00
1647239905,1081.39.00,11439.42.00,0.00,6.00,10432.09.00,679.45.00
1647239925,1085.28.00,11443.58.00,0.00,6.00,10432.09.00,679.45.00
1647239953,1092.16.00,11447.41.00,0.00,6.00,10432.09.00,679.45.00
1647239953,1092.16.00,11447.41.00,0.00,6.00,15142.02.00,2257.44.00
1647239983,1093.28.00,11454.16.00,0.00,6.00,15142.02.00,2257.44.00
,,,,,,
1647240168,1131.45.00,11475.37.00,0.00,6.00,7702.15.00,11231.33.00
1647240168,1131.45.00,11475.37.00,0.00,6.00,1108.57.00,5007.35.00
1647240198,1137.32.00,11479.46.00,0.00,6.00,1108.57.00,5007.35.00
1647240198,1137.32.00,11479.46.00,0.00,6.00,5008.35.00,1017.03.00
1647240228,1156.36.00,11485.13.00,0.00,6.00,5008.35.00,1017.03.00
1647240231,1143.53.00,11486.44.00,0.00,6.00,5008.35.00,1017.03.00
1647240262,1151.00.00,11492.44.00,0.00,6.00,5008.35.00,1017.03.00
1647240262,1151.00.00,11492.44.00,0.00,6.00,1018.03.00,11273.50.00
1647240291,1155.43.00,11497.36.00,0.00,6.00,1018.03.00,11273.50.00
1647240309,1159.51.00,11487.39.00,0.00,6.00,1018.03.00,11273.50.00
1647240309,1159.51.00,11487.39.00,0.00,6.00,11274.50.00,7765.15.00
1647240322,1163.05.00,11493.11.00,0.00,6.00,11274.50.00,7765.15.00
1647240342,1165.34.00,11499.41.00,0.00,6.00,11274.50.00,7765.15.00
1647240376,1171.14.00,11506.28.00,0.00,6.00,11274.50.00,7765.15.00
1647240376,1171.14.00,11506.28.00,0.00,6.00,1304.01.00,14709.33.00
1647240407,1179.29.00,11510.17.00,0.00,6.00,1304.01.00,14709.33.00
1647240528,1194.56.00,11524.26.00,0.00,6.00,14710.34.00,8007.14.00
1647245360,1222.05.00,11553.09.00,12.00,31.00.00,10441.29.00,9609.22.00
1647245360,1222.05.00,11553.09.00,12.00,32.00.00,13647.18.00,3319.24.00
1647245633,1222.01.00,11553.08.00,15.00,33.00.00,12051.42.00,8828.18.00
1647245633,1222.01.00,11553.08.00,15.00,32.00.00,10957.20.00,13938.22.00
1647245905,1222.40.00,11554.08.00,24.00.00,34.00.00,6531.18.00,7124.25.00
1647245905,1222.40.00,11554.08.00,24.00.00,34.00.00,1003.10.00,7586.36.00
1647246177,1221.20.00,11553.03.00,23.00,36.00.00,1249.13.00,9118.22.00
1647246177,1221.20.00,11553.03.00,23.00,35.00.00,2919.21.00,4943.05.00
1647246448,1222.21.00,11552.35.00,23.00,40.00.00,4373.01.00,4204.04.00
1647246448,1222.21.00,11552.35.00,23.00,39.00.00,13244.52.00,11010.22.00
1647246742,1222.05.00,11553.40.00,23.00,39.00.00,4321.19.00,6680.38.00
1647246742,1222.05.00,11553.40.00,23.00,38.00.00,2677.06.00,10747.49.00
1647247026,1221.27.00,11553.27.00,26.00.00,37.00.00,2830.57.00,9535.45.00
1647247026,1221.27.00,11553.27.00,26.00.00,38.00.00,8738.18.00,7981.54.00
1647247319,1223.22.00,11552.10.00,25.00.00,37.00.00,10680.41.00,3336.37.00
1647247319,1223.22.00,11552.10.00,25.00.00,37.00.00,9456.32.00,12349.09.00
1647247590,1222.47.00,11552.06.00,26.00.00,38.00.00,7691.58.00,4062.48.00
1647247590,1222.47.00,11552.06.00,23.00,36.00.00,12814.50.00,14284.10.00
1647247860,1221.42.00,11552.46.00,23.00,37.00.00,14867.26.00,11520.05.00
1647247860,1221.42.00,11552.46.00,23.00,37.00.00,12326.43.00,8223.02.00
1647248134,1222.24.00,11552.43.00,23.00,38.00.00,7794.04.00,11652.12.00
1647248134,1222.24.00,11552.43.00,23.00,39.00.00,9283.52.00,14373.32.00
1647248414,1222.13.00,11552.56.00,26.00.00,41.00.00,3990.27.00,4978.42.00
1647248414,1222.13.00,11552.56.00,26.00.00,41.00.00,11721.48.00,16205.49.00
1647248695,1221.27.00,11552.49.00,26.00.00,41.00.00,4728.28.00,6082.14.00
1647248695,1221.27.00,11552.49.00,26.00.00,41.00.00,4019.28.00,8707.46.00
1647248966,1220.34.00,11552.27.00,25.00.00,42.00.00,6257.40.00,8345.08.00
1647248966,1220.34.00,11552.27.00,26.00.00,42.00.00,11553.49.00,15509.28.00
1647249266,1222.13.00,11553.35.00,23.00,42.00.00,14308.29.00,14347.59.00
1647249266,1222.13.00,11553.35.00,22.00,42.00.00,12571.36.00,12685.24.00
1647249537,1221.20.00,11551.21.00,22.00,44.00.00,8167.00.00,8332.54.00
1647249537,1221.20.00,11551.21.00,22.00,44.00.00,16486.36.00,5934.25.00
1647249833,1222.28.00,11552.35.00,22.00,43.00.00,11023.27.00,4730.24.00
1647249833,1222.28.00,11552.35.00,21.00,44.00.00,13956.13.00,13003.22.00
1647250113,1221.04.00,11551.45.00,24.00.00,45.00.00,10554.53.00,11453.11.00
1647250113,1221.04.00,11551.45.00,24.00.00,45.00.00,987.04.00,12248.43.00
1647250412,1221.00.00,11552.03.00,24.00.00,45.00.00,13141.06.00,11066.59.00
1647250412,1221.00.00,11552.03.00,24.00.00,46.00.00,16553.33.00,2697.05.00
1647250707,1221.08.00,11552.04.00,24.00.00,47.00.00,6970.56.00,10874.39.00
1647250707,1221.08.00,11552.04.00,24.00.00,48.00.00,219.46.00,1693.54.00
1647250978,1221.08.00,11552.03.00,21.00,50.00.00,10794.17.00,13989.14.00
1647250978,1221.08.00,11552.03.00,21.00,49.00.00,12380.28.00,9448.46.00
1647251260,1221.08.00,11552.02.00,21.00,50.00.00,9354.17.00,7959.46.00
1647251260,1221.08.00,11552.02.00,20.00,50.00.00,8090.50.00,10844.47.00
1647251537,1222.24.00,11552.56.00,20.00,47.00.00,16665.13.00,8987.07.00
1647251537,1222.24.00,11552.56.00,21.00,0.00,16665.13.00,8987.07.00
1647251817,1222.05.00,11553.22.00,0.00,48.00.00,9796.23.00,3911.32.00
1647251817,1222.05.00,11553.22.00,0.00,50.00.00,6654.03.00,8164.40.00
1647252180,1222.17.00,11552.56.00,0.00,50.00.00,14351.41.00,10592.37.00
1647252180,1222.17.00,11552.56.00,0.00,50.00.00,15014.07.00,14090.58.00
1647254772,1222.17.00,11552.37.00,9.00,59.00.00,1036.45.00,13894.24.00
1647254772,1222.17.00,11552.37.00,9.00,56.00.00,8289.55.00,13353.34.00
1647255045,1221.00.00,11552.10.00,11.00,52.00.00,13849.14.00,12093.54.00
1647255045,1221.00.00,11552.10.00,11.00,52.00.00,1076.29.00,5370.02.00
1647255315,1221.12.00,11552.12.00,11.00,48.00.00,12888.14.00,4730.42.00
1647255315,1221.12.00,11552.12.00,11.00,47.00.00,2410.09.00,6913.33.00
1647255585,1221.20.00,11552.22.00,12.00,49.00.00,5263.11.00,3291.02.00
1647255585,1221.20.00,11552.22.00,12.00,51.00.00,11594.58.00,15561.06.00
1647255858,1222.01.00,11552.27.00,11.00,52.00.00,6659.08.00,9881.56.00
1647255858,1222.01.00,11552.27.00,11.00,52.00.00,3131.16.00,10984.22.00
1647256129,1220.57.00,11552.21.00,11.00,52.00.00,11173.49.00,13977.18.00
1647256129,1220.57.00,11552.21.00,11.00,52.00.00,11965.11.00,1962.19.00
1647256409,1221.58.00,11553.26.00,11.00,49.00.00,11860.19.00,3039.08.00
1647256409,1221.58.00,11553.26.00,11.00,48.00.00,16439.10.00,2776.33.00
1647256695,1221.27.00,11552.03.00,13.00,43.00.00,5034.52.00,10822.35.00
1647256695,1221.27.00,11552.03.00,13.00,42.00.00,3336.59.00,8331.36.00
1647256967,1221.35.00,11552.02.00,14.00,43.00.00,13676.23.00,5202.24.00
1647256967,1221.35.00,11552.02.00,14.00,42.00.00,16646.36.00,11033.21.00
1647257259,1222.05.00,11553.13.00,13.00,44.00.00,6915.29.00,2558.02.00
1647257534,1221.58.00,11553.06.00,12.00,45.00.00,16242.35.00,635.30.00
1647257534,1221.58.00,11553.06.00,13.00,46.00.00,401.26.00,7449.54.00
1647257809,1221.35.00,11551.56.00,12.00,45.00.00,10391.34.00,421.32.00
1647257809,1221.35.00,11551.56.00,12.00,43.00.00,7250.43.00,13650.28.00
1647259930,980.56.00,11343.29.00,18.00,16.00,11247.16.00,13588.42.00
1647259960,983.52.00,11336.09.00,18.00,16.00,11247.16.00,13588.42.00
1647259960,983.52.00,11336.09.00,18.00,14.00,13589.42.00,13588.42.00
1647259986,983.52.00,11329.39.00,18.00,14.00,13589.42.00,13588.42.00
1647260019,988.42.00,11320.52.00,18.00,14.00,13589.42.00,13588.42.00
1647260044,989.54.00,11311.26.00,10.00,13.00,7095.57.00,135.14.00
1647260107,981.23.00,11311.01.00,10.00,13.00,7095.57.00,135.14.00
