timestamp,latitudine,longitudine,NO2 (ppb),VOC (ppb),PM10 (ug/m3),PM25 (ug/m3)
1647584122,45.056599,7.674711,0.000000,242.000000,11.217897,8.135949
1647584403,45.055920,7.676568,0.000000,0.000000,21.594654,6.751387
1647584630,45.055923,7.676552,0.000000,189.000000,9.109481,31.269907
1647584837,45.056313,7.677016,7.000000,87.000000,31.270855,32.767616
1647585001,45.055988,7.679872,12.000000,55.000000,32.828667,34.867931
1647585122,45.055790,7.681760,14.000000,55.000000,35.867931,37.214043
1647585211,45.056885,7.682346,11.000000,48.000000,38.500946,36.644619
1647585236,45.056561,7.682075,11.000000,48.000000,38.500946,36.644619
1647585301,45.058033,7.683166,0.000000,46.000000,61.661148,45.486671
1647585334,45.058342,7.683493,0.000000,46.000000,61.661148,45.486671
1647585438,45.059566,7.684080,0.000000,45.000000,37.020821,44.564693
1647585522,45.060562,7.685189,0.000000,41.000000,55.931370,32.915131
1647585574,45.061348,7.685529,0.000000,42.000000,93.241394,30.812761
1647585667,45.062447,7.686207,0.000000,43.000000,35.258495,37.238869
1647585733,45.062992,7.686852,0.000000,39.000000,64.640205,36.560604
1647585822,45.063984,7.687186,0.000000,41.000000,54.762714,24.594868
1647585853,45.064453,7.687196,0.000000,41.000000,54.762714,24.594868
1647585942,45.065544,7.688622,0.000000,39.000000,53.692165,23.570551
1647586032,45.066746,7.689504,0.000000,38.000000,86.440521,19.409302
1647586110,45.067619,7.690029,0.000000,35.000000,25.453651,27.211470
1647586141,45.068043,7.690252,0.000000,37.000000,28.211470,28.492298
1647586182,45.068600,7.690494,0.000000,37.000000,28.211470,28.492298
1647586213,45.068962,7.691005,0.000000,35.000000,93.824677,29.243233
1647586332,45.070248,7.691707,0.000000,35.000000,52.212326,29.996765
1647586343,45.070461,7.692005,0.000000,34.000000,68.001297,23.311811
1647586362,45.070847,7.692181,0.000000,34.000000,68.001297,23.311811
1647586393,45.071236,7.692378,0.000000,35.000000,63.429466,19.800982
1647587200,45.070835,7.692622,20.000000,74.000000,80.258743,25.886444
1647587262,45.071102,7.692957,19.000000,78.000000,58.923130,29.597244
1647587381,45.070774,7.692766,19.000000,78.000000,84.390160,23.548059
1647587467,45.071037,7.692862,19.000000,81.000000,62.160919,23.269337
1647590651,45.070995,7.692852,18.000000,71.000000,56.729576,26.794308
1647590919,45.071217,7.693167,18.000000,71.000000,38.666882,26.412947
1647591203,45.071178,7.692952,18.000000,71.000000,34.105999,30.796700
1647591482,45.071026,7.692827,18.000000,68.000000,56.059181,30.059261
1647591767,45.071014,7.692843,18.000000,72.000000,65.779587,21.248936
1647594505,45.071026,7.692870,29.000000,0.000000,32.516178,19.621704
1647595254,45.070812,7.693152,24.000000,130.000000,59.755081,17.446953
1647595290,45.071014,7.692860,24.000000,130.000000,59.755081,17.446953
1647595290,45.071014,7.692860,29.000000,131.000000,73.089073,24.705004
1647598298,45.071159,7.692628,20.000000,83.000000,52.042847,26.820154
1647598578,45.071095,7.692726,21.000000,77.000000,39.283218,26.420984
1647598851,45.071144,7.692646,21.000000,73.000000,40.283863,28.843088
1647599126,45.071102,7.692726,21.000000,72.000000,48.659233,25.676491
1647599671,45.071178,7.692628,21.000000,69.000000,34.257236,29.383862
1647599671,45.071178,7.692628,21.000000,70.000000,30.383862,30.771885
1647599945,45.071156,7.692609,21.000000,69.000000,44.025131,28.924522
1647600221,45.071175,7.692655,21.000000,75.000000,47.324516,28.658516
1647600377,45.071262,7.692674,21.000000,72.000000,47.205353,28.265020
1647600377,45.071262,7.692674,21.000000,72.000000,40.140030,25.551130
1647600495,45.071171,7.692639,21.000000,72.000000,26.551130,29.208246
1647600495,45.071171,7.692639,21.000000,70.000000,35.905308,28.424810
1647600765,45.071167,7.692637,21.000000,71.000000,29.385557,27.135334
1647601036,45.071167,7.692640,22.000000,71.000000,28.123909,29.607382
1647601306,45.071175,7.692635,21.000000,70.000000,47.868683,28.535093
1647601306,45.071175,7.692635,22.000000,69.000000,42.696747,26.202116
1647601577,45.071110,7.692754,20.000000,73.000000,32.254189,26.773973
1647601577,45.071110,7.692754,21.000000,72.000000,46.105064,28.811949
1647601912,45.071159,7.692656,21.000000,0.000000,30.938440,30.334229
1647601912,45.071159,7.692656,21.000000,78.000000,43.355194,28.396629
1647602419,45.071190,7.692618,0.000000,115.000000,31.750122,29.485003
1647602419,45.071190,7.692618,19.000000,109.000000,49.405533,29.456163
1647604821,45.071465,7.692613,20.000000,55.000000,28.080738,29.652895
1647604850,45.071255,7.692348,20.000000,55.000000,28.080738,29.652895
1647604850,45.071255,7.692348,21.000000,58.000000,30.652895,26.589523
1647604962,45.071018,7.692662,21.000000,58.000000,30.652895,26.589523
1647604966,45.070881,7.692082,21.000000,59.000000,45.192368,17.298424
1647605000,45.070900,7.692177,21.000000,65.000000,18.298424,14.612051
1647605024,45.070541,7.692301,21.000000,65.000000,18.298424,14.612051
1647605040,45.069859,7.691349,21.000000,65.000000,18.298424,14.612051
1647605040,45.069859,7.691349,21.000000,70.000000,18.913029,12.995143
1647605058,45.069290,7.691020,21.000000,70.000000,18.913029,12.995143
