timestamp,latitudine,longitudine,NO2 (ppb),VOC (ppb),PM10 (ug/m3),PM25 (ug/m3)
1648209662,45.070896,7.692889,6.000000,88.000000,15.601893,14.654896
1648209713,45.071423,7.692674,8.000000,78.000000,15.654896,10.884493
1648209801,45.070930,7.693026,9.000000,62.000000,34.364876,11.393594
1648209851,45.070454,7.693417,10.000000,65.000000,54.726967,13.372156
1648209959,45.069206,7.693081,11.000000,69.000000,39.350441,12.486854
1648210018,45.068680,7.692679,13.000000,51.000000,46.649723,12.817022
1648210110,45.067726,7.693319,13.000000,45.000000,40.020813,11.257717
1648210169,45.067558,7.694267,14.000000,63.000000,35.947395,10.970551
1648210229,45.067108,7.693773,14.000000,67.000000,20.425135,10.330474
1648210319,45.067081,7.693851,14.000000,63.000000,37.697392,16.595129
1648210440,45.066601,7.692999,15.000000,63.000000,67.286804,15.928673
1648210573,45.066147,7.692266,16.000000,68.000000,27.636845,12.156630
1648210594,45.066418,7.692154,16.000000,71.000000,44.145561,11.275191
1648213236,45.066185,7.692269,15.000000,177.000000,19.222904,12.610258
1648213511,45.066498,7.692521,15.000000,232.000000,29.734436,7.472106
1648213801,45.066788,7.692086,13.000000,477.000000,43.312588,8.631329
1648214077,45.066730,7.692044,12.000000,405.000000,42.150475,8.785407
1648214916,45.066540,7.692441,10.000000,175.000000,29.774452,12.785931
1648214973,45.066708,7.692121,11.000000,133.000000,15.564113,12.692525
1648214994,45.066299,7.692878,12.000000,107.000000,15.568396,12.968678
1648215067,45.065289,7.694671,13.000000,81.000000,25.530441,12.570018
1648215117,45.064930,7.695626,14.000000,73.000000,18.327091,11.939451
1648215157,45.064426,7.695437,14.000000,71.000000,34.007565,12.769023
1648215217,45.063831,7.696597,14.000000,72.000000,53.252724,13.782984
1648215306,45.063381,7.696150,13.000000,78.000000,41.531399,13.733914
1648215336,45.063156,7.695890,14.000000,85.000000,57.024891,17.988956
1648215396,45.062557,7.695186,14.000000,90.000000,20.327765,13.135202
1648215651,45.062298,7.694591,11.000000,91.000000,27.242441,11.508054
1648215825,45.059402,7.695152,11.000000,67.000000,41.307739,13.959041
1648215893,45.060951,7.693260,12.000000,62.000000,32.538208,10.066511
1648216013,45.060482,7.692011,12.000000,70.000000,32.932762,8.421444
1648216045,45.060398,7.691885,11.000000,99.000000,33.724995,11.268648
1648216304,45.058834,7.690988,8.000000,138.000000,48.402359,10.979189
1648216377,45.059296,7.688720,8.000000,141.000000,89.262062,22.470734
1648216470,45.059307,7.687157,8.000000,148.000000,94.239807,18.465488
1648216516,45.056595,7.686035,8.000000,153.000000,83.158875,17.706976
1648216546,45.055202,7.685000,8.000000,155.000000,50.351898,14.460803
1648216602,45.054245,7.683652,8.000000,155.000000,65.178078,12.886754
1648216658,45.053505,7.683295,8.000000,155.000000,65.178078,12.886754
1648216688,45.052570,7.682386,8.000000,146.000000,47.395714,14.138620
1648218835,45.055935,7.676625,2.000000,289.000000,24.977610,6.925534
1648219043,45.056255,7.676382,2.000000,273.000000,18.989635,5.719046
1648220294,45.056721,7.674750,3.000000,0.000000,16.354282,4.368130
1648221374,45.056778,7.678252,3.000000,224.000000,14.523535,3.845414
1648221855,45.056721,7.674750,3.000000,228.000000,24.239508,5.225525
1648221885,45.055912,7.676578,3.000000,233.000000,35.365002,7.440250
1648222078,45.055927,7.676581,2.000000,236.000000,12.393791,3.107234
1648222639,45.055935,7.676628,3.000000,217.000000,20.794436,5.221039
1648223918,45.055931,7.676615,3.000000,223.000000,15.419319,4.625735
