timestamp,latitude,longitude,NO2 (ppb),superato limite,percentuale sup
1645566969,45.057735,7.680927,2.000000,NO, 133260
1645566969,45.057735,7.680927,4.000000,NO, 133260
1645568758,45.057732,7.680942,95.000000,SI, 850
1645568758,45.057732,7.680942,21.000000,SI, 110
1645569043,45.057732,7.680934,42.000000,SI, 320
1645569043,45.057732,7.680934,49.000000,SI, 390
1645569314,45.057735,7.680927,99.000000,SI, 890
1645569314,45.057735,7.680927,108.000000,SI, 980
1645569585,45.057739,7.680928,123.000000,SI, 1130
1645569585,45.057739,7.680928,128.000000,SI, 1180
1645569855,45.057735,7.680928,156.000000,SI, 1460
1645569855,45.057735,7.680928,159.000000,SI, 1490
1645570037,45.057816,7.680275,159.000000,SI, 1490
1645570037,45.057816,7.680275,159.000000,SI, 1490
1645570069,45.057732,7.680934,159.000000,SI, 1490
1645570129,45.057739,7.680923,159.000000,SI, 1490
1645570129,45.057739,7.680923,165.000000,SI, 1550
1645570429,45.057739,7.680937,175.000000,SI, 1650
1645570429,45.057739,7.680937,181.000000,SI, 1710
1645571892,45.057816,7.680275,234.000000,SI, 2240
1645571892,45.057816,7.680275,234.000000,SI, 2240
1645571924,45.057739,7.680929,234.000000,SI, 2240
1645576568,45.057743,7.680928,185.000000,SI, 1750
1645576568,45.057743,7.680928,180.000000,SI, 1700
1645576807,45.057484,7.681425,180.000000,SI, 1700
1645576807,45.057484,7.681425,183.000000,SI, 1730
1645583695,45.057739,7.680931,107.000000,SI, 970
1645583988,45.057735,7.680926,98.000000,SI, 880
1645583988,45.057735,7.680926,96.000000,SI, 860
1645584011,45.057209,7.678146,96.000000,SI, 860
1645584011,45.057209,7.678146,98.000000,SI, 880
1645584048,45.057739,7.680920,98.000000,SI, 880
1645584197,45.057701,7.681987,96.000000,SI, 860
1645584197,45.057701,7.681987,94.000000,SI, 840
1645584212,45.057190,7.681358,94.000000,SI, 840
1645584228,45.057739,7.680927,94.000000,SI, 840
